Loyalty#,Year,Month,YearMonthDate,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed,DollarCostPointsRedeemed,Loyalty#_new
584833,2020,6,2020-06-01,0,0,0.0,0,0,0.0,584833_2
874780,2020,6,2020-06-01,0,0,0.0,0,0,0.0,874780_2
486860,2020,5,2020-05-01,0,0,0.0,0,0,0.0,486860_2
511862,2020,5,2020-05-01,4,3,13853.0,1385,0,0.0,511862_2
464187,2020,5,2020-05-01,16,6,17213.0,1721,0,0.0,464187_2
897772,2020,5,2020-05-01,4,0,27064.0,2706,0,0.0,897772_2
604870,2020,5,2020-05-01,0,0,0.0,0,0,0.0,604870_2
286636,2020,5,2020-05-01,10,7,12977.0,1297,0,0.0,286636_2
323821,2020,5,2020-05-01,7,4,4541.0,454,3558,35.0,323821_2
951353,2020,5,2020-05-01,0,0,0.0,0,0,0.0,951353_2
368073,2020,5,2020-05-01,2,1,16868.0,1686,0,0.0,368073_2
974875,2020,5,2020-05-01,1,0,24930.0,2493,0,0.0,974875_2
351615,2020,5,2020-05-01,0,0,0.0,0,0,0.0,351615_2
849813,2020,5,2020-05-01,0,0,0.0,0,0,0.0,849813_2
278854,2020,5,2020-05-01,0,0,0.0,0,0,0.0,278854_2
255475,2020,5,2020-05-01,0,0,0.0,0,0,0.0,255475_2
727507,2020,5,2020-05-01,0,0,0.0,0,0,0.0,727507_2
992168,2020,5,2020-05-01,14,0,16838.0,1683,0,0.0,992168_2
950304,2020,5,2020-05-01,0,0,0.0,0,0,0.0,950304_2
615561,2020,5,2020-05-01,14,0,20739.0,2073,0,0.0,615561_2
750665,2020,5,2020-05-01,7,0,26844.0,2684,0,0.0,750665_2
617489,2020,5,2020-05-01,13,0,8163.0,816,0,0.0,617489_2
351615,2020,5,2020-05-01,0,0,0.0,0,0,0.0,351615_2
979115,2020,5,2020-05-01,0,0,0.0,0,0,0.0,979115_2
979115,2020,5,2020-05-01,0,0,0.0,0,0,0.0,979115_2
951353,2020,5,2020-05-01,0,0,0.0,0,0,0.0,951353_2
208241,2020,5,2020-05-01,0,0,0.0,0,0,0.0,208241_2
869265,2020,5,2020-05-01,0,0,0.0,0,0,0.0,869265_2
869276,2020,5,2020-05-01,16,0,23523.0,2352,0,0.0,869276_2
336882,2020,5,2020-05-01,14,1,28142.0,2814,0,0.0,336882_2
101902,2020,5,2020-05-01,9,3,18565.0,1856,0,0.0,101902_2
417240,2020,6,2020-06-01,10,0,26655.0,2665,0,0.0,417240_2
950980,2020,6,2020-06-01,0,0,0.0,0,0,0.0,950980_2
890361,2020,6,2020-06-01,0,0,0.0,0,0,0.0,890361_2
328623,2020,6,2020-06-01,2,2,20662.0,2066,0,0.0,328623_2
604274,2020,6,2020-06-01,0,0,0.0,0,0,0.0,604274_2
499874,2020,6,2020-06-01,0,0,0.0,0,0,0.0,499874_2
243741,2020,6,2020-06-01,3,3,14246.0,1424,3475,34.0,243741_2
474305,2020,6,2020-06-01,0,0,0.0,0,0,0.0,474305_2
776466,2020,6,2020-06-01,0,0,0.0,0,0,0.0,776466_2
208241,2020,6,2020-06-01,0,0,0.0,0,0,0.0,208241_2
738567,2020,6,2020-06-01,0,0,0.0,0,0,0.0,738567_2
417240,2020,6,2020-06-01,9,5,12223.0,1222,4783,47.0,417240_2
949628,2020,6,2020-06-01,0,0,0.0,0,0,0.0,949628_2
604870,2020,6,2020-06-01,17,1,17009.0,1700,0,0.0,604870_2
279419,2020,6,2020-06-01,0,0,0.0,0,0,0.0,279419_2
990512,2020,6,2020-06-01,0,0,0.0,0,0,0.0,990512_2
322169,2020,6,2020-06-01,3,3,20934.0,2093,0,0.0,322169_2
106001,2020,6,2020-06-01,0,0,0.0,0,0,0.0,106001_2
402697,2020,6,2020-06-01,0,0,0.0,0,0,0.0,402697_2
237094,2020,6,2020-06-01,15,1,22737.0,2273,0,0.0,237094_2
819842,2020,6,2020-06-01,0,0,0.0,0,0,0.0,819842_2
308480,2020,6,2020-06-01,0,0,0.0,0,0,0.0,308480_2
411523,2020,6,2020-06-01,15,8,27000.0,2700,5756,57.0,411523_2
511862,2020,6,2020-06-01,13,0,35448.0,3544,0,0.0,511862_2
464256,2020,6,2020-06-01,0,0,0.0,0,0,0.0,464256_2
775768,2020,6,2020-06-01,0,0,0.0,0,0,0.0,775768_2
831341,2020,6,2020-06-01,0,0,0.0,0,0,0.0,831341_2
114414,2020,6,2020-06-01,0,0,0.0,0,0,0.0,114414_2
968034,2020,6,2020-06-01,14,3,4379.0,437,4138,41.0,968034_2
357901,2020,6,2020-06-01,0,0,0.0,0,0,0.0,357901_2
255836,2020,6,2020-06-01,0,0,0.0,0,0,0.0,255836_2
992168,2020,6,2020-06-01,0,0,0.0,0,0,0.0,992168_2
295906,2020,6,2020-06-01,4,0,2910.0,291,0,0.0,295906_2
444092,2020,6,2020-06-01,7,5,10227.0,1022,0,0.0,444092_2
750578,2020,5,2020-05-01,0,0,0.0,0,0,0.0,750578_2
988392,2020,5,2020-05-01,0,0,0.0,0,0,0.0,988392_2
886803,2020,5,2020-05-01,0,0,0.0,0,0,0.0,886803_2
972686,2020,5,2020-05-01,7,0,1252.0,125,0,0.0,972686_2
682979,2020,5,2020-05-01,11,0,26209.0,2620,0,0.0,682979_2
896861,2020,5,2020-05-01,11,0,19623.0,1962,0,0.0,896861_2
825517,2020,5,2020-05-01,15,4,9149.0,914,0,0.0,825517_2
774168,2020,5,2020-05-01,0,0,0.0,0,0,0.0,774168_2
950304,2020,5,2020-05-01,0,0,0.0,0,0,0.0,950304_2
774168,2020,5,2020-05-01,0,0,0.0,0,0,0.0,774168_2
373638,2020,5,2020-05-01,0,0,0.0,0,0,0.0,373638_2
899760,2020,5,2020-05-01,0,0,0.0,0,0,0.0,899760_2
897772,2020,5,2020-05-01,11,0,13388.0,1338,0,0.0,897772_2
460272,2020,5,2020-05-01,0,0,0.0,0,0,0.0,460272_2
902608,2020,5,2020-05-01,3,0,14948.0,1494,0,0.0,902608_2
650466,2020,5,2020-05-01,8,3,31061.0,3106,4611,46.0,650466_2
528447,2020,5,2020-05-01,5,4,29098.0,2909,3901,39.0,528447_2
474305,2020,5,2020-05-01,0,0,0.0,0,0,0.0,474305_2
684889,2020,5,2020-05-01,1,1,14905.0,1490,0,0.0,684889_2
200519,2020,5,2020-05-01,6,6,4198.0,419,0,0.0,200519_2
237094,2020,5,2020-05-01,8,0,14215.0,1421,0,0.0,237094_2
622975,2020,5,2020-05-01,0,0,0.0,0,0,0.0,622975_2
135421,2020,5,2020-05-01,5,5,15267.0,1526,0,0.0,135421_2
304600,2020,5,2020-05-01,0,0,0.0,0,0,0.0,304600_2
841296,2020,5,2020-05-01,0,0,0.0,0,0,0.0,841296_2
890702,2020,5,2020-05-01,9,3,23073.0,2307,0,0.0,890702_2
604274,2020,5,2020-05-01,0,0,0.0,0,0,0.0,604274_2
653081,2020,5,2020-05-01,0,0,0.0,0,0,0.0,653081_2
874780,2020,5,2020-05-01,0,0,0.0,0,0,0.0,874780_2
546259,2020,5,2020-05-01,0,0,0.0,0,0,0.0,546259_2
687951,2020,5,2020-05-01,0,0,0.0,0,0,0.0,687951_2
308480,2020,5,2020-05-01,0,0,0.0,0,0,0.0,308480_2
464187,2020,5,2020-05-01,6,3,4972.0,497,0,0.0,464187_2
981508,2020,5,2020-05-01,0,0,0.0,0,0,0.0,981508_2
130331,2020,5,2020-05-01,0,0,0.0,0,0,0.0,130331_2
920175,2020,5,2020-05-01,2,1,19832.0,1983,0,0.0,920175_2
713132,2020,5,2020-05-01,11,0,11823.0,1182,0,0.0,713132_2
351937,2020,5,2020-05-01,0,0,0.0,0,0,0.0,351937_2
958491,2020,5,2020-05-01,0,0,0.0,0,0,0.0,958491_2
653081,2020,5,2020-05-01,0,0,0.0,0,0,0.0,653081_2
950980,2020,5,2020-05-01,0,0,0.0,0,0,0.0,950980_2
775768,2020,5,2020-05-01,11,3,14749.0,1474,4516,45.0,775768_2
927026,2020,5,2020-05-01,7,7,27567.0,2756,0,0.0,927026_2
981508,2020,5,2020-05-01,0,0,0.0,0,0,0.0,981508_2
642020,2020,5,2020-05-01,3,3,8124.0,812,0,0.0,642020_2
304600,2020,5,2020-05-01,0,0,0.0,0,0,0.0,304600_2
208485,2020,5,2020-05-01,13,0,28076.0,2807,0,0.0,208485_2
464256,2020,5,2020-05-01,0,0,0.0,0,0,0.0,464256_2
736504,2020,5,2020-05-01,8,0,2861.0,286,0,0.0,736504_2
486860,2020,5,2020-05-01,0,0,0.0,0,0,0.0,486860_2
434807,2020,5,2020-05-01,0,0,0.0,0,0,0.0,434807_2
988392,2020,5,2020-05-01,15,0,29024.0,2902,0,0.0,988392_2
841296,2020,5,2020-05-01,0,0,0.0,0,0,0.0,841296_2
470998,2020,5,2020-05-01,0,0,0.0,0,0,0.0,470998_2
601131,2020,5,2020-05-01,0,0,0.0,0,0,0.0,601131_2
411030,2020,5,2020-05-01,0,0,0.0,0,0,0.0,411030_2
255475,2020,5,2020-05-01,0,0,0.0,0,0,0.0,255475_2
584782,2020,5,2020-05-01,0,0,0.0,0,0,0.0,584782_2
776466,2020,5,2020-05-01,0,0,0.0,0,0,0.0,776466_2
309230,2020,5,2020-05-01,0,0,0.0,0,0,0.0,309230_2
357901,2020,5,2020-05-01,0,0,0.0,0,0,0.0,357901_2
323821,2020,5,2020-05-01,1,1,2130.0,213,0,0.0,323821_2
546259,2020,5,2020-05-01,0,0,0.0,0,0,0.0,546259_2
512296,2020,5,2020-05-01,6,3,7553.0,755,0,0.0,512296_2
336882,2020,5,2020-05-01,5,0,10120.0,1012,0,0.0,336882_2
536021,2020,5,2020-05-01,0,0,0.0,0,0,0.0,536021_2
732304,2020,5,2020-05-01,0,0,0.0,0,0,0.0,732304_2
825593,2020,5,2020-05-01,0,0,0.0,0,0,0.0,825593_2
615561,2020,5,2020-05-01,12,0,25392.0,2539,0,0.0,615561_2
193662,2020,5,2020-05-01,9,3,20730.0,2073,0,0.0,193662_2
684889,2020,5,2020-05-01,6,0,1057.0,105,0,0.0,684889_2
750665,2020,5,2020-05-01,15,2,24632.0,2463,0,0.0,750665_2
295906,2020,5,2020-05-01,15,0,20728.0,2072,0,0.0,295906_2
411523,2020,5,2020-05-01,5,0,9224.0,922,0,0.0,411523_2
989528,2020,5,2020-05-01,0,0,0.0,0,0,0.0,989528_2
971370,2020,5,2020-05-01,0,0,0.0,0,0,0.0,971370_2
373638,2020,5,2020-05-01,0,0,0.0,0,0,0.0,373638_2
646756,2020,5,2020-05-01,0,0,0.0,0,0,0.0,646756_2
886803,2020,5,2020-05-01,0,0,0.0,0,0,0.0,886803_2
736504,2020,5,2020-05-01,0,0,0.0,0,0,0.0,736504_2
968034,2020,5,2020-05-01,1,0,999.0,99,0,0.0,968034_2
101902,2020,5,2020-05-01,7,0,26607.0,2660,0,0.0,101902_2
402697,2020,5,2020-05-01,0,0,0.0,0,0,0.0,402697_2
684123,2020,5,2020-05-01,2,0,23668.0,2366,0,0.0,684123_2
255836,2020,5,2020-05-01,14,4,10726.0,1072,0,0.0,255836_2
582493,2020,5,2020-05-01,7,0,1522.0,152,0,0.0,582493_2
971370,2020,5,2020-05-01,1,0,6159.0,615,0,0.0,971370_2
528447,2020,5,2020-05-01,4,4,10648.0,1064,0,0.0,528447_2
351937,2020,5,2020-05-01,0,0,0.0,0,0,0.0,351937_2
584833,2020,5,2020-05-01,0,0,0.0,0,0,0.0,584833_2
874780,2020,5,2020-05-01,0,0,0.0,0,0,0.0,874780_2
582493,2020,5,2020-05-01,13,7,4866.0,486,0,0.0,582493_2
615439,2020,5,2020-05-01,3,0,27432.0,2743,0,0.0,615439_2
684881,2020,5,2020-05-01,11,0,24915.0,2491,0,0.0,684881_2
920175,2020,5,2020-05-01,0,0,0.0,0,0,0.0,920175_2
713132,2020,5,2020-05-01,3,0,12083.0,1208,0,0.0,713132_2
684881,2020,5,2020-05-01,0,0,0.0,0,0,0.0,684881_2
965605,2020,5,2020-05-01,1,0,25134.0,2513,0,0.0,965605_2
114414,2020,5,2020-05-01,0,0,0.0,0,0,0.0,114414_2
890361,2020,5,2020-05-01,0,0,0.0,0,0,0.0,890361_2
738567,2020,5,2020-05-01,0,0,0.0,0,0,0.0,738567_2
198499,2020,5,2020-05-01,0,0,0.0,0,0,0.0,198499_2
215508,2020,5,2020-05-01,3,3,7173.0,717,0,0.0,215508_2
361237,2020,5,2020-05-01,0,0,0.0,0,0,0.0,361237_2
869276,2020,5,2020-05-01,0,0,0.0,0,0,0.0,869276_2
790940,2020,5,2020-05-01,0,0,0.0,0,0,0.0,790940_2
200519,2020,5,2020-05-01,11,2,27654.0,2765,5690,56.0,200519_2
411030,2020,5,2020-05-01,0,0,0.0,0,0,0.0,411030_2
547522,2020,5,2020-05-01,0,0,0.0,0,0,0.0,547522_2
585756,2020,5,2020-05-01,3,0,19443.0,1944,0,0.0,585756_2
790940,2020,5,2020-05-01,0,0,0.0,0,0,0.0,790940_2
193662,2020,5,2020-05-01,11,0,17087.0,1708,0,0.0,193662_2
969318,2020,5,2020-05-01,9,0,10191.0,1019,0,0.0,969318_2
593252,2020,5,2020-05-01,0,0,0.0,0,0,0.0,593252_2
322169,2020,5,2020-05-01,0,0,0.0,0,0,0.0,322169_2
460272,2020,5,2020-05-01,0,0,0.0,0,0,0.0,460272_2
876062,2020,5,2020-05-01,16,0,15207.0,1520,0,0.0,876062_2
903359,2020,5,2020-05-01,0,0,0.0,0,0,0.0,903359_2
279419,2020,5,2020-05-01,3,3,12848.0,1284,0,0.0,279419_2
969318,2020,5,2020-05-01,9,2,1162.0,116,0,0.0,969318_2
825517,2020,5,2020-05-01,0,0,0.0,0,0,0.0,825517_2
825593,2020,5,2020-05-01,0,0,0.0,0,0,0.0,825593_2
536021,2020,5,2020-05-01,0,0,0.0,0,0,0.0,536021_2
831341,2020,5,2020-05-01,0,0,0.0,0,0,0.0,831341_2
444092,2020,5,2020-05-01,0,0,0.0,0,0,0.0,444092_2
368073,2020,5,2020-05-01,10,7,23703.0,2370,0,0.0,368073_2
361237,2020,5,2020-05-01,5,4,22250.0,2225,5190,51.0,361237_2
989528,2020,5,2020-05-01,0,0,0.0,0,0,0.0,989528_2
198499,2020,5,2020-05-01,0,0,0.0,0,0,0.0,198499_2
135421,2020,5,2020-05-01,0,0,0.0,0,0,0.0,135421_2
958491,2020,5,2020-05-01,0,0,0.0,0,0,0.0,958491_2
584782,2020,5,2020-05-01,0,0,0.0,0,0,0.0,584782_2
622975,2020,5,2020-05-01,0,0,0.0,0,0,0.0,622975_2
130331,2020,5,2020-05-01,0,0,0.0,0,0,0.0,130331_2
849813,2020,5,2020-05-01,0,0,0.0,0,0,0.0,849813_2
927026,2020,5,2020-05-01,8,7,11095.0,1109,0,0.0,927026_2
990512,2020,5,2020-05-01,0,0,0.0,0,0,0.0,990512_2
949628,2020,5,2020-05-01,0,0,0.0,0,0,0.0,949628_2
876062,2020,5,2020-05-01,0,0,0.0,0,0,0.0,876062_2
215508,2020,5,2020-05-01,2,0,32058.0,3205,0,0.0,215508_2
354438,2020,5,2020-05-01,0,0,0.0,0,0,0.0,354438_2
965605,2020,5,2020-05-01,0,0,0.0,0,0,0.0,965605_2
354438,2020,5,2020-05-01,0,0,0.0,0,0,0.0,354438_2
727507,2020,5,2020-05-01,0,0,0.0,0,0,0.0,727507_2
573446,2020,5,2020-05-01,6,4,4419.0,441,0,0.0,573446_2
278854,2020,5,2020-05-01,0,0,0.0,0,0,0.0,278854_2
899760,2020,5,2020-05-01,14,0,27096.0,2709,0,0.0,899760_2
896861,2020,5,2020-05-01,1,0,26178.0,2617,0,0.0,896861_2
106001,2020,5,2020-05-01,14,7,16247.0,1624,4520,45.0,106001_2
465260,2020,5,2020-05-01,15,8,13973.0,1397,0,0.0,465260_2
687951,2020,5,2020-05-01,0,0,0.0,0,0,0.0,687951_2
732304,2020,5,2020-05-01,0,0,0.0,0,0,0.0,732304_2
617489,2020,5,2020-05-01,6,0,15246.0,1524,0,0.0,617489_2
974875,2020,5,2020-05-01,9,0,30373.0,3037,0,0.0,974875_2
434807,2020,5,2020-05-01,13,1,17850.0,1785,0,0.0,434807_2
465260,2020,5,2020-05-01,14,3,12627.0,1262,0,0.0,465260_2
208485,2020,5,2020-05-01,0,0,0.0,0,0,0.0,208485_2
902608,2020,5,2020-05-01,9,0,8384.0,838,0,0.0,902608_2
499874,2020,5,2020-05-01,0,0,0.0,0,0,0.0,499874_2
642020,2020,5,2020-05-01,8,3,28225.0,2822,0,0.0,642020_2
286636,2020,5,2020-05-01,0,0,0.0,0,0,0.0,286636_2
702482,2020,5,2020-05-01,0,0,0.0,0,0,0.0,702482_2
903359,2020,5,2020-05-01,0,0,0.0,0,0,0.0,903359_2
972686,2020,5,2020-05-01,0,0,17180.0,1718,0,0.0,972686_2
890702,2020,5,2020-05-01,0,0,0.0,0,0,0.0,890702_2
650466,2020,5,2020-05-01,11,0,15147.0,1514,0,0.0,650466_2
746226,2020,5,2020-05-01,0,0,0.0,0,0,0.0,746226_2
573446,2020,5,2020-05-01,11,0,20413.0,2041,0,0.0,573446_2
585756,2020,5,2020-05-01,0,0,0.0,0,0,0.0,585756_2
601131,2020,5,2020-05-01,7,0,29399.0,2939,0,0.0,601131_2
646756,2020,5,2020-05-01,0,0,0.0,0,0,0.0,646756_2
309230,2020,5,2020-05-01,7,4,4817.0,481,3029,30.0,309230_2
328623,2020,5,2020-05-01,3,0,13954.0,1395,0,0.0,328623_2
615439,2020,5,2020-05-01,1,1,22818.0,2281,0,0.0,615439_2
512296,2020,5,2020-05-01,0,0,0.0,0,0,0.0,512296_2
411523,2020,5,2020-05-01,9,0,27608.0,2760,0,0.0,411523_2
511862,2020,5,2020-05-01,3,0,32271.0,3227,0,0.0,511862_2
464256,2020,5,2020-05-01,0,0,0.0,0,0,0.0,464256_2
402697,2020,5,2020-05-01,0,0,0.0,0,0,0.0,402697_2
237094,2020,5,2020-05-01,13,4,21161.0,2116,0,0.0,237094_2
819842,2020,5,2020-05-01,0,0,0.0,0,0,0.0,819842_2
308480,2020,5,2020-05-01,0,0,0.0,0,0,0.0,308480_2
825517,2020,4,2020-04-01,9,0,9532.0,953,0,0.0,825517_2
774168,2020,4,2020-04-01,0,0,0.0,0,0,0.0,774168_2
950304,2020,4,2020-04-01,0,0,0.0,0,0,0.0,950304_2
774168,2020,4,2020-04-01,0,0,0.0,0,0,0.0,774168_2
585756,2020,4,2020-04-01,8,6,15679.0,1567,0,0.0,585756_2
601131,2020,4,2020-04-01,0,0,0.0,0,0,0.0,601131_2
646756,2020,4,2020-04-01,0,0,0.0,0,0,0.0,646756_2
309230,2020,4,2020-04-01,10,2,20156.0,2015,0,0.0,309230_2
328623,2020,4,2020-04-01,13,0,15830.0,1583,0,0.0,328623_2
460272,2020,4,2020-04-01,0,0,0.0,0,0,0.0,460272_2
902608,2020,4,2020-04-01,10,0,2389.0,238,0,0.0,902608_2
650466,2020,4,2020-04-01,6,0,21633.0,2163,0,0.0,650466_2
528447,2020,4,2020-04-01,0,0,0.0,0,0,0.0,528447_2
474305,2020,4,2020-04-01,0,0,0.0,0,0,0.0,474305_2
684889,2020,4,2020-04-01,8,0,26945.0,2694,0,0.0,684889_2
200519,2020,4,2020-04-01,4,0,9008.0,900,0,0.0,200519_2
237094,2020,4,2020-04-01,10,0,6192.0,619,0,0.0,237094_2
622975,2020,4,2020-04-01,0,0,0.0,0,0,0.0,622975_2
135421,2020,4,2020-04-01,0,0,0.0,0,0,0.0,135421_2
304600,2020,4,2020-04-01,0,0,0.0,0,0,0.0,304600_2
841296,2020,4,2020-04-01,0,0,0.0,0,0,0.0,841296_2
890702,2020,4,2020-04-01,4,2,15773.0,1577,0,0.0,890702_2
604274,2020,4,2020-04-01,3,3,4135.0,413,0,0.0,604274_2
653081,2020,4,2020-04-01,0,0,0.0,0,0,0.0,653081_2
874780,2020,4,2020-04-01,0,0,0.0,0,0,0.0,874780_2
546259,2020,4,2020-04-01,0,0,0.0,0,0,0.0,546259_2
687951,2020,4,2020-04-01,0,0,0.0,0,0,0.0,687951_2
308480,2020,4,2020-04-01,0,0,0.0,0,0,0.0,308480_2
464187,2020,4,2020-04-01,10,4,24022.0,2402,0,0.0,464187_2
981508,2020,4,2020-04-01,0,0,0.0,0,0,0.0,981508_2
130331,2020,4,2020-04-01,0,0,0.0,0,0,0.0,130331_2
920175,2020,4,2020-04-01,0,0,0.0,0,0,0.0,920175_2
713132,2020,4,2020-04-01,8,6,11245.0,1124,0,0.0,713132_2
351937,2020,4,2020-04-01,0,0,0.0,0,0,0.0,351937_2
958491,2020,4,2020-04-01,0,0,0.0,0,0,0.0,958491_2
653081,2020,4,2020-04-01,0,0,0.0,0,0,0.0,653081_2
950980,2020,4,2020-04-01,0,0,0.0,0,0,0.0,950980_2
775768,2020,4,2020-04-01,0,0,0.0,0,0,0.0,775768_2
927026,2020,4,2020-04-01,11,0,23330.0,2333,0,0.0,927026_2
981508,2020,4,2020-04-01,0,0,0.0,0,0,0.0,981508_2
642020,2020,4,2020-04-01,5,2,20437.0,2043,4602,46.0,642020_2
304600,2020,4,2020-04-01,0,0,0.0,0,0,0.0,304600_2
208485,2020,4,2020-04-01,12,6,3157.0,315,0,0.0,208485_2
464256,2020,4,2020-04-01,0,0,0.0,0,0,0.0,464256_2
736504,2020,4,2020-04-01,4,1,2828.0,282,3142,31.0,736504_2
486860,2020,4,2020-04-01,0,0,0.0,0,0,0.0,486860_2
434807,2020,4,2020-04-01,12,0,2452.0,245,0,0.0,434807_2
373638,2020,4,2020-04-01,0,0,0.0,0,0,0.0,373638_2
899760,2020,4,2020-04-01,8,7,24433.0,2443,0,0.0,899760_2
897772,2020,4,2020-04-01,10,4,19906.0,1990,0,0.0,897772_2
869276,2020,4,2020-04-01,10,3,13681.0,1368,0,0.0,869276_2
790940,2020,4,2020-04-01,0,0,0.0,0,0,0.0,790940_2
200519,2020,4,2020-04-01,4,0,15251.0,1525,0,0.0,200519_2
411030,2020,4,2020-04-01,0,0,0.0,0,0,0.0,411030_2
417240,2020,4,2020-04-01,14,0,537.0,53,0,0.0,417240_2
950980,2020,4,2020-04-01,0,0,0.0,0,0,0.0,950980_2
890361,2020,4,2020-04-01,0,0,0.0,0,0,0.0,890361_2
328623,2020,4,2020-04-01,0,0,0.0,0,0,0.0,328623_2
604274,2020,4,2020-04-01,0,0,0.0,0,0,0.0,604274_2
499874,2020,4,2020-04-01,4,0,26298.0,2629,0,0.0,499874_2
243741,2020,4,2020-04-01,0,0,0.0,0,0,0.0,243741_2
474305,2020,4,2020-04-01,0,0,0.0,0,0,0.0,474305_2
776466,2020,4,2020-04-01,0,0,0.0,0,0,0.0,776466_2
208241,2020,4,2020-04-01,0,0,0.0,0,0,0.0,208241_2
738567,2020,4,2020-04-01,6,0,22380.0,2238,0,0.0,738567_2
775768,2020,5,2020-05-01,0,0,0.0,0,0,0.0,775768_2
831341,2020,5,2020-05-01,0,0,0.0,0,0,0.0,831341_2
114414,2020,5,2020-05-01,5,0,19075.0,1907,0,0.0,114414_2
968034,2020,5,2020-05-01,15,2,25645.0,2564,0,0.0,968034_2
357901,2020,5,2020-05-01,0,0,0.0,0,0,0.0,357901_2
255836,2020,5,2020-05-01,11,0,8211.0,821,0,0.0,255836_2
992168,2020,5,2020-05-01,6,4,28282.0,2828,0,0.0,992168_2
295906,2020,5,2020-05-01,0,0,0.0,0,0,0.0,295906_2
444092,2020,5,2020-05-01,9,0,16537.0,1653,0,0.0,444092_2
682979,2020,5,2020-05-01,0,0,0.0,0,0,0.0,682979_2
750578,2020,5,2020-05-01,0,0,0.0,0,0,0.0,750578_2
547522,2020,5,2020-05-01,0,0,0.0,0,0,0.0,547522_2
819842,2020,5,2020-05-01,0,0,0.0,0,0,0.0,819842_2
243741,2020,5,2020-05-01,0,0,0.0,0,0,0.0,243741_2
684123,2020,5,2020-05-01,0,0,0.0,0,0,0.0,684123_2
869265,2020,5,2020-05-01,10,3,26502.0,2650,0,0.0,869265_2
470998,2020,5,2020-05-01,0,0,0.0,0,0,0.0,470998_2
593252,2020,5,2020-05-01,0,0,0.0,0,0,0.0,593252_2
702482,2020,5,2020-05-01,0,0,0.0,0,0,0.0,702482_2
584833,2020,5,2020-05-01,0,0,0.0,0,0,0.0,584833_2
486860,2020,4,2020-04-01,0,0,0.0,0,0,0.0,486860_2
511862,2020,4,2020-04-01,12,4,13705.0,1370,0,0.0,511862_2
464187,2020,4,2020-04-01,10,0,23234.0,2323,0,0.0,464187_2
897772,2020,4,2020-04-01,0,0,0.0,0,0,0.0,897772_2
604870,2020,4,2020-04-01,10,0,940.0,94,0,0.0,604870_2
286636,2020,4,2020-04-01,0,0,0.0,0,0,0.0,286636_2
