Loyalty#,Year,Month,YearMonthDate,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed,DollarCostPointsRedeemed
809218,2020,6,2020-06-01,4,0,3892.0,389,0,0.0
109023,2020,6,2020-06-01,0,0,0.0,0,0,0.0
718454,2020,6,2020-06-01,0,0,0.0,0,0,0.0
982543,2020,6,2020-06-01,0,0,0.0,0,0,0.0
984713,2020,6,2020-06-01,0,0,0.0,0,0,0.0
979449,2020,6,2020-06-01,0,0,0.0,0,0,0.0
659147,2020,6,2020-06-01,17,0,13736.0,1373,0,0.0
251223,2020,6,2020-06-01,0,0,0.0,0,0,0.0
602361,2020,6,2020-06-01,0,0,0.0,0,0,0.0
394946,2020,6,2020-06-01,7,6,3630.0,363,0,0.0
708933,2020,6,2020-06-01,0,0,0.0,0,0,0.0
652614,2020,6,2020-06-01,0,0,0.0,0,0,0.0
839494,2020,6,2020-06-01,0,0,0.0,0,0,0.0
399555,2020,6,2020-06-01,0,0,0.0,0,0,0.0
261044,2020,6,2020-06-01,0,0,0.0,0,0,0.0
804770,2020,6,2020-06-01,0,0,0.0,0,0,0.0
489592,2020,6,2020-06-01,0,0,0.0,0,0,0.0
497226,2020,6,2020-06-01,0,0,0.0,0,0,0.0
991627,2020,6,2020-06-01,0,0,0.0,0,0,0.0
985707,2020,6,2020-06-01,0,0,0.0,0,0,0.0
947123,2020,6,2020-06-01,0,0,0.0,0,0,0.0
748914,2020,6,2020-06-01,0,0,0.0,0,0,0.0
394927,2020,6,2020-06-01,0,0,0.0,0,0,0.0
768959,2020,6,2020-06-01,0,0,0.0,0,0,0.0
501885,2020,6,2020-06-01,0,0,0.0,0,0,0.0
707762,2020,6,2020-06-01,0,0,0.0,0,0,0.0
925164,2020,6,2020-06-01,0,0,0.0,0,0,0.0
288774,2020,6,2020-06-01,0,0,0.0,0,0,0.0
457605,2020,6,2020-06-01,0,0,0.0,0,0,0.0
989527,2020,6,2020-06-01,0,0,0.0,0,0,0.0
327203,2020,6,2020-06-01,0,0,0.0,0,0,0.0
284419,2020,6,2020-06-01,0,0,0.0,0,0,0.0
379117,2020,6,2020-06-01,0,0,0.0,0,0,0.0
170152,2020,6,2020-06-01,0,0,0.0,0,0,0.0
275049,2020,6,2020-06-01,0,0,0.0,0,0,0.0
233774,2020,6,2020-06-01,0,0,0.0,0,0,0.0
179489,2020,6,2020-06-01,0,0,0.0,0,0,0.0
684103,2020,6,2020-06-01,0,0,0.0,0,0,0.0
384602,2020,6,2020-06-01,0,0,0.0,0,0,0.0
871094,2020,6,2020-06-01,0,0,0.0,0,0,0.0
176521,2020,6,2020-06-01,0,0,0.0,0,0,0.0
274179,2020,6,2020-06-01,0,0,0.0,0,0,0.0
370405,2020,6,2020-06-01,0,0,0.0,0,0,0.0
445146,2020,6,2020-06-01,0,0,0.0,0,0,0.0
363780,2020,6,2020-06-01,0,0,0.0,0,0,0.0
178081,2020,6,2020-06-01,0,0,0.0,0,0,0.0
718962,2020,6,2020-06-01,0,0,0.0,0,0,0.0
713067,2020,6,2020-06-01,0,0,0.0,0,0,0.0
340874,2020,5,2020-05-01,0,0,0.0,0,0,0.0
819448,2020,5,2020-05-01,0,0,0.0,0,0,0.0
512358,2020,5,2020-05-01,0,0,0.0,0,0,0.0
208668,2020,5,2020-05-01,0,0,0.0,0,0,0.0
244844,2020,5,2020-05-01,0,0,0.0,0,0,0.0
121751,2020,5,2020-05-01,0,0,0.0,0,0,0.0
844677,2020,5,2020-05-01,0,0,0.0,0,0,0.0
771872,2020,5,2020-05-01,0,0,0.0,0,0,0.0
541358,2020,5,2020-05-01,14,0,6861.0,686,0,0.0
412743,2020,5,2020-05-01,0,0,0.0,0,0,0.0
541040,2020,5,2020-05-01,0,0,0.0,0,0,0.0
678217,2020,5,2020-05-01,0,0,0.0,0,0,0.0
748586,2020,5,2020-05-01,0,0,0.0,0,0,0.0
405739,2020,5,2020-05-01,2,2,4008.0,400,5725,57.0
527090,2020,5,2020-05-01,0,0,0.0,0,0,0.0
551154,2020,5,2020-05-01,14,2,3351.0,335,0,0.0
615528,2020,5,2020-05-01,0,0,0.0,0,0,0.0
346766,2020,5,2020-05-01,0,0,0.0,0,0,0.0
746385,2020,5,2020-05-01,0,0,0.0,0,0,0.0
134180,2020,5,2020-05-01,0,0,0.0,0,0,0.0
764703,2020,5,2020-05-01,0,0,0.0,0,0,0.0
766262,2020,5,2020-05-01,0,0,0.0,0,0,0.0
153760,2020,5,2020-05-01,0,0,0.0,0,0,0.0
223643,2020,5,2020-05-01,0,0,0.0,0,0,0.0
392953,2020,5,2020-05-01,0,0,0.0,0,0,0.0
364710,2020,5,2020-05-01,0,0,0.0,0,0,0.0
665645,2020,5,2020-05-01,0,0,0.0,0,0,0.0
204111,2020,5,2020-05-01,0,0,0.0,0,0,0.0
890753,2020,5,2020-05-01,0,0,0.0,0,0,0.0
696562,2020,5,2020-05-01,0,0,0.0,0,0,0.0
696864,2020,5,2020-05-01,8,0,14615.0,1461,0,0.0
479766,2020,5,2020-05-01,11,4,25601.0,2560,0,0.0
351461,2020,5,2020-05-01,0,0,0.0,0,0,0.0
792932,2020,5,2020-05-01,0,0,0.0,0,0,0.0
343139,2020,5,2020-05-01,0,0,0.0,0,0,0.0
165260,2020,5,2020-05-01,16,3,18610.0,1861,0,0.0
874161,2020,5,2020-05-01,0,0,0.0,0,0,0.0
539704,2020,5,2020-05-01,0,0,0.0,0,0,0.0
976004,2020,5,2020-05-01,0,0,0.0,0,0,0.0
822102,2020,5,2020-05-01,0,0,0.0,0,0,0.0
888316,2020,5,2020-05-01,0,0,0.0,0,0,0.0
767864,2020,5,2020-05-01,0,0,0.0,0,0,0.0
546994,2020,5,2020-05-01,14,7,19429.0,1942,0,0.0
136049,2020,5,2020-05-01,0,0,0.0,0,0,0.0
516301,2020,5,2020-05-01,0,0,0.0,0,0,0.0
219043,2020,5,2020-05-01,11,0,889.0,88,0,0.0
918807,2020,5,2020-05-01,14,3,1940.0,194,0,0.0
355724,2020,5,2020-05-01,0,0,0.0,0,0,0.0
170801,2020,5,2020-05-01,0,0,0.0,0,0,0.0
950252,2020,5,2020-05-01,0,0,0.0,0,0,0.0
116238,2020,5,2020-05-01,0,0,0.0,0,0,0.0
753864,2020,5,2020-05-01,0,0,0.0,0,0,0.0
173834,2020,5,2020-05-01,0,0,0.0,0,0,0.0
935313,2020,5,2020-05-01,0,0,0.0,0,0,0.0
482370,2020,5,2020-05-01,0,0,0.0,0,0,0.0
838553,2020,5,2020-05-01,0,0,0.0,0,0,0.0
373888,2020,6,2020-06-01,0,0,0.0,0,0,0.0
667356,2020,6,2020-06-01,0,0,0.0,0,0,0.0
256013,2020,6,2020-06-01,12,10,36190.0,3619,5314,53.0
583003,2020,6,2020-06-01,0,0,0.0,0,0,0.0
244721,2020,6,2020-06-01,0,0,0.0,0,0,0.0
491005,2020,6,2020-06-01,0,0,0.0,0,0,0.0
511437,2020,6,2020-06-01,0,0,0.0,0,0,0.0
723968,2020,6,2020-06-01,14,4,1424.0,142,0,0.0
233969,2020,6,2020-06-01,9,7,16997.0,1699,5765,57.0
479960,2020,6,2020-06-01,0,0,0.0,0,0,0.0
363967,2020,6,2020-06-01,0,0,0.0,0,0,0.0
313982,2020,6,2020-06-01,0,0,0.0,0,0,0.0
949612,2020,6,2020-06-01,0,0,0.0,0,0,0.0
763520,2020,6,2020-06-01,9,0,10176.0,1017,0,0.0
853540,2020,6,2020-06-01,0,0,0.0,0,0,0.0
798662,2020,6,2020-06-01,8,1,1500.0,150,5386,53.0
799064,2020,6,2020-06-01,0,0,0.0,0,0,0.0
892066,2020,6,2020-06-01,0,0,0.0,0,0,0.0
526344,2020,6,2020-06-01,0,0,0.0,0,0,0.0
532848,2020,6,2020-06-01,0,0,0.0,0,0,0.0
633910,2020,6,2020-06-01,0,0,0.0,0,0,0.0
953892,2020,6,2020-06-01,0,0,0.0,0,0,0.0
776956,2020,6,2020-06-01,0,0,0.0,0,0,0.0
879416,2020,6,2020-06-01,0,0,0.0,0,0,0.0
958743,2020,6,2020-06-01,0,0,0.0,0,0,0.0
680754,2020,6,2020-06-01,0,0,0.0,0,0,0.0
141181,2020,6,2020-06-01,0,0,0.0,0,0,0.0
618871,2020,6,2020-06-01,0,0,0.0,0,0,0.0
684835,2020,6,2020-06-01,0,0,0.0,0,0,0.0
756867,2020,6,2020-06-01,9,6,20803.0,2080,6167,61.0
493800,2020,6,2020-06-01,0,0,0.0,0,0,0.0
187876,2020,6,2020-06-01,0,0,0.0,0,0,0.0
252110,2020,6,2020-06-01,12,0,26393.0,2639,0,0.0
313673,2020,6,2020-06-01,0,0,0.0,0,0,0.0
375722,2020,6,2020-06-01,0,0,0.0,0,0,0.0
575833,2020,6,2020-06-01,9,0,12642.0,1264,0,0.0
577278,2020,6,2020-06-01,0,0,0.0,0,0,0.0
358968,2020,6,2020-06-01,0,0,0.0,0,0,0.0
327638,2020,6,2020-06-01,0,0,0.0,0,0,0.0
750688,2020,6,2020-06-01,2,2,29806.0,2980,0,0.0
384010,2020,6,2020-06-01,0,0,0.0,0,0,0.0
501704,2020,6,2020-06-01,0,0,0.0,0,0,0.0
317001,2020,6,2020-06-01,0,0,0.0,0,0,0.0
964206,2020,6,2020-06-01,0,0,0.0,0,0,0.0
432941,2020,6,2020-06-01,0,0,0.0,0,0,0.0
212695,2020,6,2020-06-01,0,0,0.0,0,0,0.0
462232,2020,6,2020-06-01,0,0,0.0,0,0,0.0
968064,2020,6,2020-06-01,0,0,0.0,0,0,0.0
831812,2020,6,2020-06-01,16,8,26547.0,2654,3709,37.0
503988,2020,6,2020-06-01,0,0,0.0,0,0,0.0
845613,2020,6,2020-06-01,0,0,0.0,0,0,0.0
517262,2020,6,2020-06-01,0,0,0.0,0,0,0.0
123830,2020,6,2020-06-01,0,0,0.0,0,0,0.0
106444,2020,6,2020-06-01,0,0,0.0,0,0,0.0
298098,2020,6,2020-06-01,0,0,0.0,0,0,0.0
804710,2020,6,2020-06-01,5,0,12728.0,1272,0,0.0
827790,2020,6,2020-06-01,0,0,0.0,0,0,0.0
929455,2020,6,2020-06-01,0,0,0.0,0,0,0.0
501165,2020,6,2020-06-01,0,0,0.0,0,0,0.0
801391,2020,6,2020-06-01,10,0,4688.0,468,0,0.0
535436,2020,6,2020-06-01,0,0,0.0,0,0,0.0
331669,2020,6,2020-06-01,11,0,2542.0,254,0,0.0
269565,2020,6,2020-06-01,0,0,0.0,0,0,0.0
121236,2020,6,2020-06-01,6,6,11643.0,1164,5477,54.0
946645,2020,6,2020-06-01,0,0,0.0,0,0,0.0
787571,2020,6,2020-06-01,8,6,25618.0,2561,6050,60.0
628924,2020,6,2020-06-01,20,1,15196.0,1519,5867,58.0
696609,2020,6,2020-06-01,12,0,12190.0,1219,0,0.0
122020,2020,6,2020-06-01,7,7,27659.0,2765,5253,52.0
865803,2020,6,2020-06-01,0,0,0.0,0,0,0.0
522788,2020,6,2020-06-01,0,0,0.0,0,0,0.0
257985,2020,6,2020-06-01,0,0,0.0,0,0,0.0
116897,2020,5,2020-05-01,0,0,0.0,0,0,0.0
907595,2020,5,2020-05-01,0,0,0.0,0,0,0.0
311841,2020,5,2020-05-01,0,0,0.0,0,0,0.0
232907,2020,5,2020-05-01,0,0,0.0,0,0,0.0
400404,2020,5,2020-05-01,9,3,2080.0,208,5215,52.0
953612,2020,5,2020-05-01,0,0,0.0,0,0,0.0
229204,2020,5,2020-05-01,0,0,0.0,0,0,0.0
826589,2020,5,2020-05-01,1,0,396.0,39,0,0.0
400079,2020,5,2020-05-01,2,0,32150.0,3215,0,0.0
966580,2020,5,2020-05-01,0,0,0.0,0,0,0.0
535233,2020,5,2020-05-01,6,4,10553.0,1055,0,0.0
614871,2020,5,2020-05-01,0,0,0.0,0,0,0.0
646023,2020,5,2020-05-01,0,0,0.0,0,0,0.0
154782,2020,5,2020-05-01,0,0,0.0,0,0,0.0
999891,2020,5,2020-05-01,0,0,0.0,0,0,0.0
579283,2020,5,2020-05-01,0,0,0.0,0,0,0.0
505776,2020,5,2020-05-01,0,0,0.0,0,0,0.0
376862,2020,5,2020-05-01,8,5,2948.0,294,0,0.0
488151,2020,5,2020-05-01,14,3,31725.0,3172,0,0.0
469075,2020,5,2020-05-01,0,0,0.0,0,0,0.0
137251,2020,5,2020-05-01,0,0,0.0,0,0,0.0
857538,2020,5,2020-05-01,6,0,5910.0,591,0,0.0
633162,2020,5,2020-05-01,0,0,0.0,0,0,0.0
422164,2020,5,2020-05-01,0,0,0.0,0,0,0.0
513778,2020,5,2020-05-01,15,4,398.0,39,5655,56.0
983393,2020,5,2020-05-01,0,0,0.0,0,0,0.0
645078,2020,5,2020-05-01,0,0,0.0,0,0,0.0
225205,2020,5,2020-05-01,0,0,0.0,0,0,0.0
607538,2020,5,2020-05-01,0,0,0.0,0,0,0.0
939289,2020,5,2020-05-01,0,0,0.0,0,0,0.0
249466,2020,5,2020-05-01,14,0,9404.0,940,0,0.0
336665,2020,5,2020-05-01,0,0,0.0,0,0,0.0
355331,2020,5,2020-05-01,11,2,3333.0,333,3137,31.0
969632,2020,5,2020-05-01,0,0,0.0,0,0,0.0
756341,2020,5,2020-05-01,0,0,0.0,0,0,0.0
759417,2020,5,2020-05-01,11,3,25857.0,2585,3165,31.0
499423,2020,5,2020-05-01,0,0,0.0,0,0,0.0
456613,2020,5,2020-05-01,0,0,0.0,0,0,0.0
803656,2020,5,2020-05-01,0,0,0.0,0,0,0.0
737604,2020,5,2020-05-01,2,2,16051.0,1605,0,0.0
611464,2020,5,2020-05-01,0,0,0.0,0,0,0.0
522285,2020,5,2020-05-01,0,0,0.0,0,0,0.0
688731,2020,5,2020-05-01,0,0,0.0,0,0,0.0
344372,2020,5,2020-05-01,0,0,0.0,0,0,0.0
227303,2020,5,2020-05-01,0,0,0.0,0,0,0.0
969719,2020,5,2020-05-01,0,0,0.0,0,0,0.0
910336,2020,5,2020-05-01,0,0,0.0,0,0,0.0
288451,2020,5,2020-05-01,0,0,0.0,0,0,0.0
800220,2020,5,2020-05-01,0,0,0.0,0,0,0.0
885497,2020,5,2020-05-01,0,0,0.0,0,0,0.0
811959,2020,5,2020-05-01,0,0,0.0,0,0,0.0
973407,2020,5,2020-05-01,0,0,0.0,0,0,0.0
263339,2020,5,2020-05-01,0,0,0.0,0,0,0.0
202182,2020,5,2020-05-01,0,0,0.0,0,0,0.0
697680,2020,5,2020-05-01,0,0,0.0,0,0,0.0
623654,2020,5,2020-05-01,0,0,0.0,0,0,0.0
992986,2020,5,2020-05-01,15,3,16355.0,1635,4202,42.0
494438,2020,5,2020-05-01,0,0,0.0,0,0,0.0
419626,2020,5,2020-05-01,0,0,0.0,0,0,0.0
763224,2020,5,2020-05-01,0,0,0.0,0,0,0.0
910416,2020,5,2020-05-01,0,0,0.0,0,0,0.0
153953,2020,5,2020-05-01,0,0,0.0,0,0,0.0
936603,2020,5,2020-05-01,0,0,0.0,0,0,0.0
328349,2020,5,2020-05-01,0,0,0.0,0,0,0.0
494552,2020,5,2020-05-01,0,0,0.0,0,0,0.0
191558,2020,5,2020-05-01,0,0,0.0,0,0,0.0
683276,2020,5,2020-05-01,0,0,0.0,0,0,0.0
648231,2020,5,2020-05-01,0,0,0.0,0,0,0.0
559619,2020,5,2020-05-01,0,0,0.0,0,0,0.0
245307,2020,5,2020-05-01,0,0,0.0,0,0,0.0
714379,2020,5,2020-05-01,0,0,0.0,0,0,0.0
650621,2020,5,2020-05-01,2,0,18193.0,1819,0,0.0
445839,2020,5,2020-05-01,11,2,22440.0,2244,0,0.0
869672,2020,5,2020-05-01,0,0,0.0,0,0,0.0
264904,2020,5,2020-05-01,0,0,0.0,0,0,0.0
425779,2020,5,2020-05-01,11,0,15013.0,1501,0,0.0
155253,2020,5,2020-05-01,0,0,0.0,0,0,0.0
324013,2020,5,2020-05-01,0,0,0.0,0,0,0.0
174669,2020,5,2020-05-01,0,0,0.0,0,0,0.0
433477,2020,5,2020-05-01,0,0,0.0,0,0,0.0
230687,2020,5,2020-05-01,0,0,0.0,0,0,0.0
108857,2020,5,2020-05-01,0,0,0.0,0,0,0.0
406294,2020,5,2020-05-01,3,1,656.0,65,3797,37.0
663659,2020,5,2020-05-01,0,0,0.0,0,0,0.0
344669,2020,5,2020-05-01,0,0,0.0,0,0,0.0
208375,2020,5,2020-05-01,0,0,0.0,0,0,0.0
347423,2020,5,2020-05-01,0,0,0.0,0,0,0.0
902277,2020,5,2020-05-01,0,0,0.0,0,0,0.0
901461,2020,5,2020-05-01,0,0,0.0,0,0,0.0
649918,2020,5,2020-05-01,0,0,0.0,0,0,0.0
748286,2020,5,2020-05-01,0,0,0.0,0,0,0.0
173673,2020,5,2020-05-01,7,6,28085.0,2808,0,0.0
352581,2020,5,2020-05-01,0,0,0.0,0,0,0.0
603968,2020,5,2020-05-01,0,0,0.0,0,0,0.0
983551,2020,5,2020-05-01,10,1,5784.0,578,5507,55.0
540796,2020,5,2020-05-01,0,0,0.0,0,0,0.0
674375,2020,5,2020-05-01,0,0,0.0,0,0,0.0
923108,2020,5,2020-05-01,0,0,0.0,0,0,0.0
596171,2020,5,2020-05-01,0,0,0.0,0,0,0.0
569319,2020,5,2020-05-01,1,0,20684.0,2068,0,0.0
719162,2020,5,2020-05-01,0,0,0.0,0,0,0.0
172233,2020,5,2020-05-01,0,0,0.0,0,0,0.0
139600,2020,5,2020-05-01,0,0,0.0,0,0,0.0
263302,2020,5,2020-05-01,0,0,0.0,0,0,0.0
205465,2020,5,2020-05-01,0,0,0.0,0,0,0.0
759223,2020,5,2020-05-01,0,0,0.0,0,0,0.0
675535,2020,5,2020-05-01,0,0,0.0,0,0,0.0
639419,2020,5,2020-05-01,3,3,5048.0,504,0,0.0
360732,2020,5,2020-05-01,0,0,0.0,0,0,0.0
633627,2020,5,2020-05-01,7,3,20131.0,2013,4615,46.0
847312,2020,5,2020-05-01,0,0,0.0,0,0,0.0
496831,2020,5,2020-05-01,0,0,0.0,0,0,0.0
461012,2020,5,2020-05-01,14,0,12434.0,1243,0,0.0
205698,2020,5,2020-05-01,0,0,0.0,0,0,0.0
103975,2020,5,2020-05-01,0,0,0.0,0,0,0.0
752259,2020,5,2020-05-01,0,0,0.0,0,0,0.0
637927,2020,5,2020-05-01,0,0,0.0,0,0,0.0
290184,2020,5,2020-05-01,8,8,14411.0,1441,3805,38.0
960253,2020,5,2020-05-01,0,0,0.0,0,0,0.0
846033,2020,5,2020-05-01,0,0,0.0,0,0,0.0
683909,2020,5,2020-05-01,0,0,0.0,0,0,0.0
452994,2020,5,2020-05-01,0,0,0.0,0,0,0.0
169699,2020,5,2020-05-01,0,0,0.0,0,0,0.0
436805,2020,5,2020-05-01,0,0,0.0,0,0,0.0
941194,2020,5,2020-05-01,0,0,0.0,0,0,0.0
511981,2020,5,2020-05-01,0,0,0.0,0,0,0.0
226804,2020,5,2020-05-01,0,0,0.0,0,0,0.0
428826,2020,5,2020-05-01,0,0,0.0,0,0,0.0
422805,2020,5,2020-05-01,0,0,0.0,0,0,0.0
973104,2020,5,2020-05-01,0,0,0.0,0,0,0.0
967693,2020,5,2020-05-01,3,1,23165.0,2316,0,0.0
270759,2020,5,2020-05-01,0,0,0.0,0,0,0.0
935862,2020,5,2020-05-01,0,0,0.0,0,0,0.0
604436,2020,5,2020-05-01,0,0,0.0,0,0,0.0
761600,2020,5,2020-05-01,0,0,0.0,0,0,0.0
850123,2020,5,2020-05-01,0,0,0.0,0,0,0.0
977693,2020,5,2020-05-01,0,0,0.0,0,0,0.0
692936,2020,5,2020-05-01,0,0,0.0,0,0,0.0
197973,2020,5,2020-05-01,0,0,0.0,0,0,0.0
835440,2020,5,2020-05-01,14,0,10414.0,1041,0,0.0
809218,2020,5,2020-05-01,7,0,7049.0,704,0,0.0
109023,2020,5,2020-05-01,0,0,0.0,0,0,0.0
718454,2020,5,2020-05-01,0,0,0.0,0,0,0.0
982543,2020,5,2020-05-01,0,0,0.0,0,0,0.0
984713,2020,5,2020-05-01,0,0,0.0,0,0,0.0
979449,2020,5,2020-05-01,3,3,11450.0,1145,5100,51.0
659147,2020,5,2020-05-01,9,8,21452.0,2145,0,0.0
251223,2020,5,2020-05-01,0,0,0.0,0,0,0.0
602361,2020,5,2020-05-01,11,4,19377.0,1937,5576,55.0
394946,2020,5,2020-05-01,0,0,0.0,0,0,0.0
708933,2020,5,2020-05-01,0,0,0.0,0,0,0.0
652614,2020,5,2020-05-01,0,0,0.0,0,0,0.0
839494,2020,5,2020-05-01,0,0,0.0,0,0,0.0
399555,2020,5,2020-05-01,0,0,0.0,0,0,0.0
261044,2020,5,2020-05-01,7,0,1696.0,169,0,0.0
804770,2020,5,2020-05-01,0,0,0.0,0,0,0.0
489592,2020,5,2020-05-01,0,0,0.0,0,0,0.0
497226,2020,5,2020-05-01,0,0,0.0,0,0,0.0
991627,2020,5,2020-05-01,0,0,0.0,0,0,0.0
985707,2020,5,2020-05-01,0,0,0.0,0,0,0.0
947123,2020,5,2020-05-01,0,0,0.0,0,0,0.0
748914,2020,5,2020-05-01,0,0,0.0,0,0,0.0
394927,2020,5,2020-05-01,0,0,0.0,0,0,0.0
768959,2020,5,2020-05-01,0,0,0.0,0,0,0.0
501885,2020,5,2020-05-01,0,0,0.0,0,0,0.0
707762,2020,5,2020-05-01,0,0,0.0,0,0,0.0
925164,2020,5,2020-05-01,0,0,0.0,0,0,0.0
288774,2020,5,2020-05-01,0,0,0.0,0,0,0.0
457605,2020,5,2020-05-01,0,0,0.0,0,0,0.0
989527,2020,5,2020-05-01,0,0,0.0,0,0,0.0
327203,2020,5,2020-05-01,0,0,0.0,0,0,0.0
284419,2020,5,2020-05-01,0,0,0.0,0,0,0.0
379117,2020,5,2020-05-01,0,0,0.0,0,0,0.0
170152,2020,5,2020-05-01,0,0,0.0,0,0,0.0
275049,2020,5,2020-05-01,5,2,22888.0,2288,4611,46.0
233774,2020,5,2020-05-01,0,0,0.0,0,0,0.0
179489,2020,5,2020-05-01,0,0,0.0,0,0,0.0
684103,2020,5,2020-05-01,0,0,0.0,0,0,0.0
384602,2020,5,2020-05-01,3,0,30618.0,3061,0,0.0
871094,2020,5,2020-05-01,0,0,0.0,0,0,0.0
176521,2020,5,2020-05-01,0,0,0.0,0,0,0.0
274179,2020,5,2020-05-01,0,0,0.0,0,0,0.0
370405,2020,5,2020-05-01,0,0,0.0,0,0,0.0
445146,2020,5,2020-05-01,0,0,0.0,0,0,0.0
363780,2020,5,2020-05-01,0,0,0.0,0,0,0.0
178081,2020,5,2020-05-01,0,0,0.0,0,0,0.0
718962,2020,5,2020-05-01,3,3,7328.0,732,4592,45.0
713067,2020,5,2020-05-01,0,0,0.0,0,0,0.0
781797,2020,5,2020-05-01,13,8,30170.0,3017,5078,50.0
376983,2020,5,2020-05-01,0,0,0.0,0,0,0.0
482673,2020,5,2020-05-01,0,0,0.0,0,0,0.0
157902,2020,5,2020-05-01,0,0,0.0,0,0,0.0
302460,2020,5,2020-05-01,0,0,0.0,0,0,0.0
599560,2020,5,2020-05-01,10,0,10341.0,1034,0,0.0
387553,2020,5,2020-05-01,0,0,0.0,0,0,0.0
807211,2020,5,2020-05-01,0,0,0.0,0,0,0.0
855384,2020,5,2020-05-01,10,0,9958.0,995,0,0.0
380954,2020,5,2020-05-01,0,0,0.0,0,0,0.0
972671,2020,5,2020-05-01,0,0,0.0,0,0,0.0
653324,2020,5,2020-05-01,0,0,0.0,0,0,0.0
602649,2020,5,2020-05-01,0,0,0.0,0,0,0.0
948404,2020,5,2020-05-01,7,0,6603.0,660,0,0.0
621940,2020,5,2020-05-01,0,0,0.0,0,0,0.0
770759,2020,5,2020-05-01,7,0,13280.0,1328,0,0.0
442695,2020,5,2020-05-01,0,0,0.0,0,0,0.0
566640,2020,5,2020-05-01,0,0,0.0,0,0,0.0
222050,2020,5,2020-05-01,0,0,0.0,0,0,0.0
405698,2020,5,2020-05-01,0,0,0.0,0,0,0.0
946963,2020,5,2020-05-01,0,0,0.0,0,0,0.0
625318,2020,5,2020-05-01,0,0,0.0,0,0,0.0
908729,2020,5,2020-05-01,0,0,0.0,0,0,0.0
790008,2020,5,2020-05-01,8,7,13026.0,1302,0,0.0
149430,2020,5,2020-05-01,0,0,0.0,0,0,0.0
316666,2020,5,2020-05-01,0,0,0.0,0,0,0.0
533666,2020,5,2020-05-01,0,0,0.0,0,0,0.0
492265,2020,5,2020-05-01,3,3,22680.0,2268,5149,51.0
438707,2020,5,2020-05-01,11,0,21971.0,2197,0,0.0
177345,2020,5,2020-05-01,0,0,0.0,0,0,0.0
952696,2020,5,2020-05-01,0,0,0.0,0,0,0.0
939103,2020,5,2020-05-01,0,0,0.0,0,0,0.0
762389,2020,5,2020-05-01,10,0,1855.0,185,0,0.0
436041,2020,5,2020-05-01,0,0,0.0,0,0,0.0
354206,2020,5,2020-05-01,0,0,0.0,0,0,0.0
